0.0464399	5117.3
0.13932	3056.61
0.2322	2669.47
0.325079	2422.85
0.417959	2584.37
0.510839	3500.94
0.603719	2927.43
0.696599	2632.84
0.789478	3768.49
0.882358	3287.51
0.975238	2908.3
1.06812	2339.91
1.161	2528.71
1.25388	2879.67
1.34676	3113.81
1.43964	3731.07
1.53252	4793.19
1.6254	2638.74
1.71828	2258.79
1.81116	2823.94
1.90404	3323.47
1.99692	2654.11
2.0898	5709.32
2.18268	2778.56
2.27556	2727.36
2.36844	3595.93
2.46132	2785.73
2.5542	2481.67
2.64707	7170.63
2.73995	2852.31
2.83283	2545.54
2.92571	3293.75
3.01859	3242.79
3.11147	2843.03
3.20435	4004.91
3.29723	2331.44
3.39011	2540.86
3.48299	4232.17
3.57587	2672.02
3.66875	4028.97
3.76163	4551.77
3.85451	2242.57
3.94739	2561.5
4.04027	4019.95
4.13315	2615.51
4.22603	2768.52
4.31891	4014.94
4.41179	2393.39
4.50467	3116.26
4.59755	3190.72
4.69043	2351.09
4.78331	4886.24
4.87619	3788.72
4.96907	2641.98
5.06195	2520.79
5.15483	3394.81
5.24771	3022.3
5.34059	4041.25
5.43347	2668.26
5.52635	2810.83
5.61923	2757.3
5.71211	3664.94
5.80499	3969
5.89787	4529.88
5.99075	2402.31
6.08363	2282.04
6.17651	3098.21
6.26939	3244.1
6.36227	3245.76
6.45515	6011.95
6.54803	2676.8
6.64091	2870.33
6.73379	3735.07
6.82667	2428.54
6.91955	2635.77
7.01243	6571.48
7.10531	3212.8
7.19819	3206.92
7.29107	3930.47
7.38395	3201.22
7.47683	2865.62
7.56971	3686.95
7.66259	2538.26
7.75546	2990.03
7.84834	4303.94
7.94122	3082.34
8.0341	2403.53
8.12698	3394.41
8.21986	2106.89
8.31274	2667.97
8.40562	3719.88
8.4985	2769.95
8.59138	3333.63
8.68426	4427.36
8.77714	4864.12
8.87002	3060.61
8.9629	3527.31
9.05578	2854.99
9.14866	3827.86
9.24154	3769.39
9.33442	2961.39
9.4273	2623.5
9.52018	3354.98
9.61306	2734.13
9.70594	3333.77
9.79882	2573.91
9.8917	2444.17
